Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
250613-100,2025-06-13,90009118031,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,235.000,235.000,Nepilna slodze,"","",2025-08-31,"","Skolas iela 10, Līvbērze, Līvbērzes pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417826059
250613-97,2025-06-13,90009118031,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,117.000,117.000,Nepilna slodze,"","",2025-08-31,"","Skolas iela 10, Līvbērze, Līvbērzes pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417825038
250613-101,2025-06-13,90009118031,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,705.000,705.000,Nepilna slodze,"","",2025-08-31,"","Skolas iela 10, Līvbērze, Līvbērzes pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417826613
250701-156,2025-07-01,90009118031,PEDAGOGS,Izglītība / Zinātne,1410.000,1410.000,Viena vesela slodze,"","",2025-08-15,"","Madaru iela 2, Vilce, Vilces pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419272780
250618-122,2025-06-18,90009118031,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,984.000,984.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-17,"","Skolas iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418251525
250618-124,2025-06-18,90009118031,DEZINFEKTORS,Veselības aprūpe / Sociālā aprūpe,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-17,"","Skolas iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418251761
250708-116,2025-07-08,90009118031,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,480.000,480.000,Viena vesela slodze,Nepilnais darba laiks,8,2025-08-08,"","Skolas iela 10, Tetele, Cenu pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420166201
250708-120,2025-07-08,90009118031,TEHNISKAIS STRĀDNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,"","",2025-07-31,"","Skolas iela 10, Tetele, Cenu pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420170093
250618-118,2025-06-18,90009118031,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,984.000,984.000,Viena vesela slodze,"",40,2025-08-17,"","Parka iela 11, Eleja, Elejas pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418244668
250618-117,2025-06-18,90009118031,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,984.000,984.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-17,"","Lielupes iela 27, Kalnciems, Kalnciema pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418244327
250708-141,2025-07-08,90009118031,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1684.000,1684.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-17,"","Skolas iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420186020
250710-94,2025-07-10,90009118031,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Mediji / Sabiedriskās attiecības,1529.000,1529.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-07,"","Pasta iela 37, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/420451846
250718-107,2025-07-21,90009118031,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1289.000,1289.000,Viena vesela slodze,"","",2025-08-07,"","Celtnieku iela 12, Āne, Cenu pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421097199
250721-27,2025-07-21,90009118031,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,781.000,781.000,Viena vesela slodze,Summētais darba laiks,40,2025-08-10,"","Skolas iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421171571
250721-28,2025-07-21,90009118031,TEHNISKAIS STRĀDNIEKS,Veselības aprūpe / Sociālā aprūpe,868.000,868.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-10,"","Skolas iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421171659
