Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
250620-138,2025-06-20,90000065595,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1482.000,1482.000,Nepilna slodze,"","",2025-08-15,"","Rīgas iela 101, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418461087
250714-38,2025-07-15,90000065595,JAUNATNES DARBINIEKS,Izglītība / Zinātne,1014.000,1014.000,"","","",2025-08-01,"","Lāčplēša iela 28, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420630023
250729-177,2025-07-29,90000065595,IZGLĪTĪBAS DARBA SPECIĀLISTS,Izglītība / Zinātne,1254.000,1254.000,Viena vesela slodze,"","",2025-08-15,"","Rīgas iela 113/117, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421946427
250729-182,2025-07-29,90000065595,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,"","",2025-08-22,"","Rīgas iela 101, Līvāni, Līvānu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421947766
250626-175,2025-06-26,4313901881,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1800.000,2000.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-31,"","Parka iela 38, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418899755
250702-57,2025-07-02,50003408181,APKOPĒJS,Veselības aprūpe / Sociālā aprūpe,5.440,5.440,Viena vesela slodze,"","",2025-07-31,"","Valkas iela 11, Strenči, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419407026
250716-31,2025-07-16,40900021495,PEDAGOGS,Izglītība / Zinātne,1530.000,1550.000,Nepilna slodze,Normālais darba laiks,"",2025-08-29,"","Skola, Madliena, Madlienas pag., Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420842235
250703-104,2025-07-03,90009249140,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2025-08-30,"","Tukuma iela 9, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/419638387
250625-119,2025-06-25,40900010716,SĀKUMIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Normālais darba laiks,22,2025-07-31,"","Skolas iela 5, Allaži, Allažu pag., Siguldas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418633629
250721-145,2025-07-21,40003028055,LIDOSTAS AVIODROŠĪBAS DIENESTA DARBINIEKS,Drošība / Glābšanas dienesti / Aizsardzība,6.800,7.200,Viena vesela slodze,Maiņu darbs,"",2025-08-04,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421233710
250721-143,2025-07-21,40003028055,APSARGS,Drošība / Glābšanas dienesti / Aizsardzība,6.800,7.300,Viena vesela slodze,Maiņu darbs,"",2025-08-04,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421233512
250721-146,2025-07-21,40003028055,LIDOSTAS AVIODROŠĪBAS DIENESTA DARBINIEKS,Drošība / Glābšanas dienesti / Aizsardzība,6.000,6.590,Viena vesela slodze,"","",2025-08-04,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421233932
250721-147,2025-07-21,40003028055,SĒTNIEKS,Drošība / Glābšanas dienesti / Aizsardzība,4.790,5.390,Viena vesela slodze,Maiņu darbs,"",2025-08-04,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421234329
250721-151,2025-07-21,40003028055,ASISTENTS PERSONĀM AR INVALIDITĀTI,Veselības aprūpe / Sociālā aprūpe,6.590,8.380,Viena vesela slodze,Summētais darba laiks,"",2025-08-04,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421235596
250721-154,2025-07-21,40003028055,LIDOSTAS KRĀVĒJS,Transports / Loģistika,5.390,6.890,Viena vesela slodze,Summētais darba laiks,"",2025-08-05,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421237579
250724-10,2025-07-24,40003028055,LIDOSTAS PASAŽIERU APKALPOŠANAS AĢENTS,Tūrisms / Viesnīcas,6.590,7.190,Viena vesela slodze,Maiņu darbs,"",2025-08-05,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421488585
250715-129,2025-07-16,40003857687,ELEKTROMONTIERIS,Elektronika / Enerģētika / Elektroenerģija,1400.000,1600.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-14,"","Juglaslīči, Līči, Stopiņu pagasts",https://cvvp.nva.gov.lv/#/pub/vakances/420806976
250728-15,2025-07-28,40003857687,JURISTS,Elektronika / Enerģētika / Elektroenerģija,2500.000,3000.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-07,"","Šmerļa iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421739825
250728-16,2025-07-28,40003857687,Ražošanas vadības organizācijas/ darba organizācijas INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1900.000,2200.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-07,"","Jaunā iela 31A, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421740853
250728-19,2025-07-28,40003857687,Ražošanas vadības organizācijas/ darba organizācijas INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1900.000,2200.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-07,"","Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421741525
250730-58,2025-07-30,40003857687,ELEKTROINŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,2300.000,2850.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-12,"","Šmerļa iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/422012206
250701-28,2025-07-01,90009249189,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,705.000,705.000,Nepilna slodze,"","",2025-08-31,"","Engures iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/419208391
250701-36,2025-07-01,90009249189,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2025-08-31,"","Engures iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/419210348
250701-41,2025-07-01,90009249189,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2025-08-31,"","Engures iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/419212138
250701-40,2025-07-01,90009249189,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,824.000,824.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-31,"","Engures iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/419211089
250722-140,2025-07-22,90009249189,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2025-08-31,"","Engures iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/421321684
250606-71,2025-06-06,90000048167,PAVĀRS,Ēdināšana / Pārtikas rūpniecība,770.000,770.000,Viena vesela slodze,Maiņu darbs,40,2025-09-01,"","Rozentovas iela 9, Malta, Maltas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417106569
250714-76,2025-07-14,90000048167,SPECIĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1620.000,1620.000,Viena vesela slodze,Normālais darba laiks,36,2025-09-01,"","Kalnu iela 4, Malta, Maltas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420645483
250723-100,2025-07-23,90000048167,MIKROAUTOBUSA VADĪTĀJS,Transports / Loģistika,788.000,788.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-29,"","Rozentovas iela 9, Malta, Maltas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421417522
250701-12,2025-07-01,90009249155,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1175.000,1175.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-01,"","Salaspils iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/419199507
250424-114,2025-04-24,90009249155,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,1214.000,1214.000,Viena vesela slodze,Summētais darba laiks,"",2025-08-31,"","Salaspils iela 4, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/412765636
250711-38,2025-07-29,90000063880,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1211.000,1211.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Apšu iela 3A, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/420514481
250508-72,2025-05-08,90000063880,ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,771.000,771.000,Nepilna slodze,Nepilnais darba laiks,20,2025-08-18,"","Aprūpes centrs, Veģi, Abavas pag., Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/413898986
250722-123,2025-07-22,90000028508,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Valsts pārvalde,1899.000,1899.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-20,"","Peldu iela 25, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421312462
250630-154,2025-06-30,90001259776,VECĀKAIS PAVĀRS,Vadība / Administrēšana,1050.000,1074.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-01,"","Dzintara iela 63, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419143826
250625-37,2025-06-25,40900010133,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,227.950,227.950,Nepilna slodze,"","",2025-07-31,"","Augusta Dombrovska iela 9C, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418585376
250625-34,2025-06-25,40900010133,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1240.000,1240.000,Nepilna slodze,Nepilnais darba laiks,"",2025-07-31,"","Augusta Dombrovska iela 9C, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418584388
250312-407,2025-07-01,40003189328,ĀRSTS,Veselības aprūpe / Sociālā aprūpe,9.650,9.650,Nepilna slodze,Summētais darba laiks,"",2025-07-31,"","Dakteru iela 14, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/408309713
241023-76,2025-06-30,40003189328,"GINEKOLOGS, DZEMDĪBU SPECIĀLISTS",Veselības aprūpe / Sociālā aprūpe,1607.000,1813.000,"","","",2025-07-31,"","Dakteru iela 14, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/395492347
250602-228,2025-06-30,40003189328,NEIROLOGS,Veselības aprūpe / Sociālā aprūpe,1607.000,1813.000,"","","",2025-07-31,"","Dakteru iela 14, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416506661
241023-119,2025-06-30,40003189328,ENDOKRINOLOGS,Veselības aprūpe / Sociālā aprūpe,1607.000,1813.000,"","","",2025-07-31,"","Dakteru iela 14, Smiltene, Smiltenes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/395514132
250612-5,2025-06-12,40900009187,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1331.100,1331.100,Nepilna slodze,Normālais darba laiks,34,2025-08-29,"","Zvaigžņu iela 6, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/417632942
250729-116,2025-07-29,40900015249,SĒTNIEKS,Cita,185.000,185.000,Nepilna slodze,Nepilnais darba laiks,10,2025-08-17,"","Ģertrūdes iela 28, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421913930
250722-133,2025-07-22,40900039891,PROJEKTA KOORDINATORS,Valsts pārvalde,1950.000,1950.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-20,"","Latgales iela 165, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421317991
250725-91,2025-07-28,40900039891,VECĀKAIS EKSPERTS,Valsts pārvalde,1950.000,1950.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-20,"","Latgales iela 165, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421679110
250717-22,2025-07-17,40900038561,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Valsts pārvalde,6.850,6.850,Nepilna slodze,Nepilnais darba laiks,"",2025-08-08,"","Bērzaines iela 5, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420946712
250618-42,2025-06-18,40900039463,SĀKUMIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1438.000,1438.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-29,"","Valmieras iela 5, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/418194482
250522-116,2025-05-22,40900039463,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1465.000,1465.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-21,"","Aveņu iela 40, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/415488277
250710-91,2025-07-10,40003220000,APKOPĒJS,Veselības aprūpe / Sociālā aprūpe,750.000,750.000,Viena vesela slodze,Maiņu darbs,"",2025-08-04,"","Vienības prospekts 19/21, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/420448245
250710-90,2025-07-10,40003220000,DATORSISTĒMU TEHNIĶIS,Veselības aprūpe / Sociālā aprūpe,2404.000,2404.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Vienības prospekts 19/21, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/420447798
250718-44,2025-07-18,40003220000,PAVĀRS,Veselības aprūpe / Sociālā aprūpe,882.000,1700.000,Viena vesela slodze,"","",2025-08-10,"","Vienības prospekts 19/21, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/421064861
250702-218,2025-07-02,40900013483,SĒTNIEKS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,"","",2025-08-03,"","Malnavas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419505568
250722-206,2025-07-22,40900036698,VALDES LOCEKLIS,Vadība / Administrēšana,3500.000,3500.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-05,"","Raiņa iela 98A, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/421353706
250725-9,2025-07-25,90000054163,KLIENTU APKALPOŠANAS SPECIĀLISTS,Valsts pārvalde,1020.000,1137.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-08,"","Uzvaras iela 6, Bauska, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421593668
250718-66,2025-07-18,4301902662,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1580.000,1580.000,"","","",2025-08-29,"","Enerģētiķu iela 17, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421078424
250718-70,2025-07-18,4301902662,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,1000.000,1100.000,"","","",2025-08-29,"","Enerģētiķu iela 4B, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421079099
250718-64,2025-07-18,4301902662,PAVĀRS,Izglītība / Zinātne,950.000,1050.000,Viena vesela slodze,"",40,2025-08-29,"","Enerģētiķu iela 4B, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421078282
250718-76,2025-07-18,4301902662,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1530.000,1530.000,"","","",2025-08-29,"","Enerģētiķu iela 4B, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421080763
250221-26,2025-05-13,50003356621,JURISTS,Jurisprudence / Tieslietas,1500.000,1600.000,"","","",2025-08-12,"","Stadiona iela 1, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/406088104
250512-205,2025-05-12,50003356621,PEDIATRS,Veselības aprūpe / Sociālā aprūpe,2000.000,2920.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414395612
250512-192,2025-05-12,50003356621,NEIROLOGS,Veselības aprūpe / Sociālā aprūpe,3290.000,3528.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414392477
250512-212,2025-05-12,50003356621,"TRAUMATOLOGS, ORTOPĒDS",Veselības aprūpe / Sociālā aprūpe,2200.000,4200.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414397993
250512-221,2025-05-12,50003356621,"GINEKOLOGS, DZEMDĪBU SPECIĀLISTS",Veselības aprūpe / Sociālā aprūpe,1813.000,2624.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414401712
250512-215,2025-05-13,50003356621,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1500.000,1700.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414400035
250512-187,2025-05-12,50003356621,INTERNISTS,Veselības aprūpe / Sociālā aprūpe,2000.000,3080.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414391758
250711-150,2025-07-11,50003356621,FARMACEITS,Jurisprudence / Tieslietas,2000.000,2000.000,Viena vesela slodze,"","",2025-08-10,"","Stadiona iela 1, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420569697
250218-135,2025-05-13,50003356621,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Veselības aprūpe / Sociālā aprūpe,1500.000,1700.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/405764806
250512-175,2025-05-12,50003356621,"ANESTEZIOLOGS, REANIMATOLOGS",Veselības aprūpe / Sociālā aprūpe,3000.000,3000.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414387914
250512-200,2025-05-12,50003356621,ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,1400.000,1400.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414394489
250512-209,2025-05-12,50003356621,RADIOGRĀFERS,Veselības aprūpe / Sociālā aprūpe,1800.000,2500.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414396623
250512-180,2025-05-12,50003356621,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,2000.000,2500.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414390747
250512-178,2025-05-12,50003356621,"TRAUMATOLOGS, ORTOPĒDS",Veselības aprūpe / Sociālā aprūpe,2200.000,2200.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414389374
250512-225,2025-05-12,50003356621,NEONATOLOGS,Jurisprudence / Tieslietas,3000.000,3000.000,"","","",2025-08-12,"","Stadiona iela 1, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414402525
250512-220,2025-05-12,50003356621,VECMĀTE,Veselības aprūpe / Sociālā aprūpe,1500.000,1700.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414401039
250512-231,2025-05-12,50003356621,PNEIMONOLOGS,Veselības aprūpe / Sociālā aprūpe,2200.000,2200.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414403254
250512-244,2025-05-13,50003356621,ZOBĀRSTS,Veselības aprūpe / Sociālā aprūpe,30.000,30.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414407560
250512-242,2025-05-12,50003356621,FIZIKĀLĀS UN REHABILITĀCIJAS MEDICĪNAS ĀRSTS,Veselības aprūpe / Sociālā aprūpe,2200.000,2500.000,"","","",2025-08-12,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414407307
250521-74,2025-05-21,50003356621,PEDIATRS,Veselības aprūpe / Sociālā aprūpe,3200.000,3200.000,"","","",2025-08-21,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415333857
250528-135,2025-05-28,50003356621,DATORSISTĒMU UN DATORTĪKLU ADMINISTRATORS,Informācijas tehnoloģijas / Telekomunikācijas,1300.000,1300.000,"","","",2025-08-27,"","Andreja Pormaļa iela 125, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416040686
250612-65,2025-06-12,50900039431,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,2000.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-29,"","Valkas iela 4A, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/417681020
250617-171,2025-06-17,90000043403,SOCIĀLAIS PEDAGOGS,Izglītība / Zinātne,265.000,265.000,"","","",2025-08-01,"","Skolas iela 22, Matīši, Matīšu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418137718
250617-174,2025-06-17,90000043403,KARJERAS KONSULTANTS,Izglītība / Zinātne,141.000,141.000,"","","",2025-08-01,"","Skolas iela 22, Matīši, Matīšu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418138302
250617-170,2025-06-17,90000043403,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,176.000,176.000,"","","",2025-08-01,"","Skolas iela 22, Matīši, Matīšu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418137458
250617-172,2025-06-17,90000043403,PSIHOLOGS,Izglītība / Zinātne,265.000,265.000,"","","",2025-08-01,"","Skolas iela 22, Matīši, Matīšu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418138086
250530-99,2025-05-30,90000043403,VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /IZPILDDIREKTORS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1086.800,1086.800,"","","",2025-08-01,"","Skolas iela 22, Matīši, Matīšu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416281031
250620-59,2025-06-20,90000043403,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,"","","",2025-08-01,"","Rīgas iela 30, Rūjiena, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418431769
250620-63,2025-06-20,90000043403,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,"","","",2025-08-01,"","Rīgas iela 30, Rūjiena, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418432310
250620-61,2025-06-20,90000043403,LOGOPĒDS,Izglītība / Zinātne,1175.000,1175.000,"","","",2025-08-01,"","Rīgas iela 30, Rūjiena, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418432023
250718-31,2025-07-18,90000043403,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1409.190,1409.190,"","","",2025-08-10,"","Purva iela 12, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421060381
250718-28,2025-07-18,90000043403,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,496.630,496.630,"","","",2025-08-15,"","Dikļu skola, Dikļi, Dikļu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421059774
250718-30,2025-07-18,90000043403,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,245.180,245.180,"","","",2025-08-15,"","Dikļu skola, Dikļi, Dikļu pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421060041
250718-34,2025-07-18,90000043403,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,770.000,810.000,"","","",2025-08-05,"","Rūpniecības iela 16A, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421061381
250722-203,2025-07-23,90000043403,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1550.000,1550.000,"","","",2025-08-08,"","Viestura aleja 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421350232
250724-42,2025-07-24,90000043403,Bibliotēkas struktūrvienības VADĪTĀJS,Valsts pārvalde,699.300,736.400,"","","",2025-08-07,"","Lieplejas, Lode, Lodes pag., Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421521470
250725-78,2025-07-25,90000043403,TŪRISMA INFORMĀCIJAS KONSULTANTS,Tūrisms / Viesnīcas,1399.000,1483.000,"","","",2025-08-04,"","Krišjāņa Valdemāra iela 1, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421664162
250725-79,2025-07-25,90000043403,"INTERNĀTA, DIENESTA VIESNĪCAS SKOLOTĀJS",Valsts pārvalde,936.000,985.000,"","","",2025-08-08,"","Ausekļa iela 25B, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421664312
250728-203,2025-07-28,90000043403,TERITORIJAS PLĀNOTĀJS,Valsts pārvalde,1746.000,1851.000,"","","",2025-08-08,"","Lāčplēša iela 2, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421834819
250728-205,2025-07-28,90000043403,KULTŪRAS PASĀKUMU ORGANIZATORS,Kultūra / Māksla,999.000,1052.000,"","","",2025-08-10,"","Rīgas iela 42, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421835057
